Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00       20     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.89     0.00       20     0.00     0.00  int** std::__miter_base<int**>(int**)
  0.00      0.89     0.00       20     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.89     0.00       11     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.89     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator++()
  0.00      0.89     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator*() const
  0.00      0.89     0.00       10     0.00     0.00  int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int*>(int* const*, int* const*, int**)
  0.00      0.89     0.00       10     0.00     0.00  std::pair<int, int>::pair<int, int, true>()
  0.00      0.89     0.00       10     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.89     0.00       10     0.00     0.00  void std::_Construct<std::pair<int, int>>(std::pair<int, int>*)
  0.00      0.89     0.00       10     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00      0.89     0.00       10     0.00     0.00  int** std::__niter_wrap<int**>(int** const&, int**)
  0.00      0.89     0.00       10     0.00     0.00  int** std::__copy_move_a<false, int**, int**>(int**, int**, int**)
  0.00      0.89     0.00       10     0.00     0.00  int** std::__copy_move_a1<false, int**, int**>(int**, int**, int**)
  0.00      0.89     0.00       10     0.00     0.00  int** std::__copy_move_a2<false, int**, int**>(int**, int**, int**)
  0.00      0.89     0.00       10     0.00     0.00  int** std::copy<int**, int**>(int**, int**, int**)
  0.00      0.89     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::~new_allocator()
  0.00      0.89     0.00        6     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> > >::~allocator()
  0.00      0.89     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::new_allocator(__gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::_M_max_size() const
  0.00      0.89     0.00        4     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> > >::allocator(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        4     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.89     0.00        4     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.89     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::~new_allocator()
  0.00      0.89     0.00        3     0.00     0.00  std::allocator<std::pair<int, int> >::~allocator()
  0.00      0.89     0.00        3     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::new_allocator(__gnu_cxx::new_allocator<std::pair<int, int> > const&)
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::deallocate(std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::new_allocator()
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::__normal_iterator(std::pair<int, int>* const&)
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::_M_max_size() const
  0.00      0.89     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::max_size() const
  0.00      0.89     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.89     0.00        2     0.00     0.00  std::allocator<std::pair<int, int> >::allocator(std::allocator<std::pair<int, int> > const&)
  0.00      0.89     0.00        2     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> > >::allocator()
  0.00      0.89     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator()
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Vector_impl::_Vector_impl(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_deallocate(std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_create_storage(unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Vector_base(unsigned long, std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00     0.00  std::_Vector_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::~_Vector_base()
  0.00      0.89     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      0.89     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> > > >::deallocate(std::allocator<std::deque<int, std::allocator<int> > >&, std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> > > >::allocate(std::allocator<std::deque<int, std::allocator<int> > >&, unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> > > >::max_size(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00    79.41  std::deque<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::deque<int, std::allocator<int> >*, unsigned long>(std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.89     0.00        2     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_S_max_size(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00     0.00  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_S_check_init_len(unsigned long, std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00    79.41  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_default_initialize(unsigned long)
  0.00      0.89     0.00        2     0.00    79.41  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::vector(unsigned long, std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.89     0.00        2     0.00    41.64  std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::~vector()
  0.00      0.89     0.00        2     0.00    79.41  std::deque<int, std::allocator<int> >* std::__uninitialized_default_n<std::deque<int, std::allocator<int> >*, unsigned long>(std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.89     0.00        2     0.00    79.41  std::deque<int, std::allocator<int> >* std::__uninitialized_default_n_a<std::deque<int, std::allocator<int> >*, unsigned long, std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*, unsigned long, std::allocator<std::deque<int, std::allocator<int> > >&)
  0.00      0.89     0.00        2     0.00    41.64  void std::_Destroy<std::deque<int, std::allocator<int> >*>(std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> >*)
  0.00      0.89     0.00        2     0.00    41.64  void std::_Destroy<std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> >*, std::allocator<std::deque<int, std::allocator<int> > >&)
  0.00      0.89     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
